date,close,open,high,low,change
22-Aug-24,691.62,692.57,692.57,691.62,-0.05%
21-Aug-24,691.94,691.94,691.94,691.07,-0.16%
20-Aug-24,693.06,693.06,693.06,692.06,0.08%
19-Aug-24,692.51,692.51,692.51,692.48,0.15%
16-Aug-24,691.46,691.46,691.46,691.38,0.28%
15-Aug-24,689.55,691.41,691.41,689.55,0.08%
14-Aug-24,688.99,689,689,688.99,-0.11%
13-Aug-24,689.78,689.78,689.78,689.11,-0.06%
12-Aug-24,690.21,690.21,690.21,689.5,-2.20%
9-Aug-24,705.74,705.74,705.74,689,1.31%
8-Aug-24,696.59,705.81,705.81,696.59,-0.09%
7-Aug-24,697.23,734.73,734.73,697.23,-5.03%
6-Aug-24,734.15,734.15,734.15,697.55,5.48%
5-Aug-24,696.03,696.03,696.03,671.92,3.69%
2-Aug-24,671.26,671.26,671.26,644.61,4.12%
1-Aug-24,644.67,644.67,644.67,601.23,7.17%
31-Jul-24,601.53,602.34,602.34,601.53,-0.05%
30-Jul-24,601.83,602.34,602.34,601.83,-0.01%
29-Jul-24,601.9,601.9,601.9,601.67,0.14%
26-Jul-24,601.04,604.95,604.95,601.04,-0.62%
25-Jul-24,604.82,604.82,604.82,602.71,0.34%
24-Jul-24,602.78,602.78,602.78,601.41,0.27%
23-Jul-24,601.16,601.34,601.34,601.16,-0.01%
22-Jul-24,601.24,601.24,601.24,579.05,3.98%
19-Jul-24,578.2,578.2,578.2,577.28,0.13%
18-Jul-24,577.47,577.47,577.47,577.28,0.12%
17-Jul-24,576.76,576.76,576.76,576.74,0.00%
16-Jul-24,576.74,576.88,576.88,576.74,0.00%
15-Jul-24,576.73,580.27,580.27,576.73,-0.43%
12-Jul-24,579.21,579.78,579.78,579.21,0.00%
11-Jul-24,579.19,580.66,580.66,579.19,-0.21%
10-Jul-24,580.42,580.42,580.42,572.37,1.44%
9-Jul-24,572.17,572.17,572.17,561.93,1.88%
8-Jul-24,561.59,590.9,590.9,561.59,-4.77%
5-Jul-24,589.71,597.41,597.41,589.71,-1.25%
4-Jul-24,597.18,606.01,606.01,597.18,-1.41%
3-Jul-24,605.72,629.81,629.81,605.72,-3.77%
2-Jul-24,629.48,629.66,629.66,629.48,-0.06%
1-Jul-24,629.86,629.86,629.86,628.97,0.31%
28-Jun-24,627.91,627.91,627.91,618.68,1.58%
27-Jun-24,618.16,618.67,618.67,618.16,-0.02%
